PermissionSetName,PermissionSetArn,Description,SessionDuration,AttachedManagedPolicies,CustomerManagedPolicyReferences,PermissionsBoundary,HasInlinePolicy,InlinePolicyJson
AWSServiceCatalogEndUserAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-2f47c95c56229485,Provides access to the AWS Service Catalog end user console,PT1H,AWSServiceCatalogEndUserFullAccess (arn:aws:iam::aws:policy/AWSServiceCatalogEndUserFullAccess),,,YES,"{""Version"": ""2012-10-17"",""Statement"": [{""Sid"": ""AWSControlTowerAccountFactoryAccess"",""Effect"": ""Allow"",""Action"": [""sso:GetProfile"",""sso:CreateProfile"", ""sso:UpdateProfile"",""sso:AssociateProfile"",""sso:CreateApplicationInstance"",""sso:GetSSOStatus"",""sso:GetTrust"",""sso:CreateTrust"",""sso:UpdateTrust"",""sso:GetPeregrineStatus"",""sso:GetApplicationInstance"",""sso:ListDirectoryAssociations"",""sso:ListPermissionSets"",""sso:GetPermissionSet"",""sso:ProvisionApplicationInstanceForAWSAccount"",""sso:ProvisionApplicationProfileForAWSAccountInstance"",""sso:ProvisionSAMLProvider"",""sso:ListProfileAssociations"",""sso-directory:ListMembersInGroup"",""sso-directory:SearchGroups"",""sso-directory:SearchGroupsWithGroupName"",""sso-directory:SearchUsers"",""sso-directory:CreateUser"",""sso-directory:DescribeGroups"",""sso-directory:DescribeDirectory"",""sso-directory:GetUserPoolInfo"",""controltower:CreateManagedAccount"",""controltower:DescribeManagedAccount"",""controltower:DeregisterManagedAccount"",""s3:GetObject"",""organizations:describeOrganization"",""sso:DescribeRegisteredRegions""],""Resource"": ""*""}]}"
AWSOrganizationsFullAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-e9a81c3ac415e4f4,Provides full access to AWS Organizations,PT1H,AWSOrganizationsFullAccess (arn:aws:iam::aws:policy/AWSOrganizationsFullAccess),,,NO,
NC-Admin-s3Denyaccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-7223c489479e8021,,PT1H,AdministratorAccess (arn:aws:iam::aws:policy/AdministratorAccess),,,YES,"{""Version"":""2012-10-17"",""Statement"":[{""Sid"":""Statement1"",""Effect"":""Deny"",""Action"":[""s3:*""],""Resource"":[""*""]}]}"
AWSReadOnlyAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-510a9bacb52d318a,This policy grants permissions to view resources and basic metadata across all AWS services,PT1H,ViewOnlyAccess (arn:aws:iam::aws:policy/job-function/ViewOnlyAccess),,,NO,
PS-EC2-FullAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-7223caa62f740c17,,PT1H,,,,YES,"{""Version"":""2012-10-17"",""Statement"":[{""Sid"":""Statement1"",""Effect"":""Allow"",""Action"":[""ec2:*""],""Resource"":[""*""]}]}"
Sandbox-AdministratorAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-72232ab21174908e,,PT1H,AdministratorAccess (arn:aws:iam::aws:policy/AdministratorAccess),,,NO,
NC-s3fullaccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-7223516ef6f4efff,,PT1H,,/s3-full-access,,NO,
AWSPowerUserAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-a78a039d06f14a09,"Provides full access to AWS services and resources, but does not allow management of Users and groups",PT1H,PowerUserAccess (arn:aws:iam::aws:policy/PowerUserAccess),,,NO,
AWSAdministratorAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-dfd01c1e00f0a32a,Provides full access to AWS services and resources,PT1H,AdministratorAccess (arn:aws:iam::aws:policy/AdministratorAccess),,,NO,
NC-S3FullAccess-PS,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-72233493f2fded74,,PT1H,,/NC-S3-FullAccess,,NO,
NC-AdministratorAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-7223f51bc8039332,,PT1H,AdministratorAccess (arn:aws:iam::aws:policy/AdministratorAccess),,,NO,
AWSServiceCatalogAdminFullAccess,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-a1d478a6ff41cebc,Provides full access to AWS Service Catalog admin capabilities,PT1H,AWSServiceCatalogAdminFullAccess (arn:aws:iam::aws:policy/AWSServiceCatalogAdminFullAccess),,,NO,
AWS-Admin-NonProd,arn:aws:sso:::permissionSet/ssoins-7223e44c4895dfe6/ps-722316ce17412467,AWS-Administrative access for all non production accounts,PT1H,AdministratorAccess (arn:aws:iam::aws:policy/AdministratorAccess),,,NO,
